placed_on,match_date,home,away,side,bet,odds,stake,status,pnl,bankroll_after
2026-06-14,2026-06-16,Argentina,Algeria,under25,Under 2.5 goals,1.855,0.83,lost,-0.83,104.48
2026-06-15,2026-06-17,Uzbekistan,Colombia,under25,Under 2.5 goals,1.835,8.52,lost,-8.52,95.96
2026-06-15,2026-06-17,England,Croatia,under25,Under 2.5 goals,1.705,0.63,lost,-0.63,95.33
2026-06-15,2026-06-17,Portugal,DR Congo,under25,Under 2.5 goals,2.14,3.55,won,4.05,99.38
2026-06-15,2026-06-17,Ghana,Panama,away,Panama win,3.47,6.57,lost,-6.57,92.81
2026-06-16,2026-06-18,Switzerland,Bosnia and Herzegovina,home,Switzerland win,1.56,0.84,won,0.47,93.28
2026-06-16,2026-06-18,Canada,Qatar,over25,Over 2.5 goals,1.76,1.28,won,0.97,94.25
2026-06-16,2026-06-18,Czech Republic,South Africa,under25,Under 2.5 goals,1.74,0.77,won,0.57,94.82
2026-06-16,2026-06-18,Mexico,South Korea,home,Mexico win,2.0,0.66,won,0.66,95.48
2026-06-17,2026-06-18,Canada,Qatar,home,Canada win,1.28,0.99,won,0.28,95.76
2026-06-18,2026-06-18,Switzerland,Bosnia and Herzegovina,over25,Over 2.5 goals,2.02,2.14,won,2.18,97.94
2026-06-18,2026-06-18,Mexico,South Korea,over25,Over 2.5 goals,2.325,4.25,lost,-4.25,93.69
2026-06-18,2026-06-19,United States,Australia,over25,Over 2.5 goals,1.925,0.67,lost,-0.67,93.02
2026-06-18,2026-06-19,Scotland,Morocco,under25,Under 2.5 goals,1.65,0.74,won,0.48,93.5
2026-06-19,2026-06-20,Tunisia,Japan,away,Japan win,1.53,0.75,won,0.4,93.9
2026-06-19,2026-06-20,Netherlands,Sweden,over25,Over 2.5 goals,1.82,2.4,won,1.97,95.87
2026-06-19,2026-06-20,Netherlands,Sweden,home,Netherlands win,1.75,0.66,won,0.5,96.37
2026-06-19,2026-06-20,Tunisia,Japan,over25,Over 2.5 goals,2.05,1.53,won,1.61,97.98
2026-06-19,2026-06-21,New Zealand,Egypt,under25,Under 2.5 goals,1.7,0.67,lost,-0.67,111.15
2026-06-20,2026-06-22,Argentina,Austria,home,Argentina win,1.58,1.24,open,0.0,
2026-06-20,2026-06-22,Jordan,Algeria,over25,Over 2.5 goals,1.93,1.71,open,0.0,
2026-06-20,2026-06-22,Argentina,Austria,over25,Over 2.5 goals,1.95,0.6,open,0.0,
2026-06-20,2026-06-22,Norway,Senegal,home,Norway win,2.3,0.49,open,0.0,
2026-06-20,2026-06-20,Germany,Ivory Coast,home,Germany win,3.12,6.53,won,13.84,111.82
2026-06-21,2026-06-23,Colombia,DR Congo,home,Colombia win,1.5,0.91,open,0.0,
2026-06-21,2026-06-23,England,Ghana,over25,Over 2.5 goals,1.66,0.83,open,0.0,
2026-06-21,2026-06-23,Panama,Croatia,over25,Over 2.5 goals,1.935,0.84,open,0.0,
2026-06-21,2026-06-22,Norway,Senegal,under25,Under 2.5 goals,1.915,0.7,open,0.0,
2026-06-22,2026-06-23,England,Ghana,home,England win,1.22,1.1,open,0.0,
2026-06-22,2026-06-23,Colombia,DR Congo,under25,Under 2.5 goals,1.67,0.81,open,0.0,
2026-06-22,2026-06-24,Czech Republic,Mexico,away,Mexico win,1.93,0.7,open,0.0,
2026-06-22,2026-06-22,Argentina,Austria,under25,Under 2.5 goals,1.915,0.7,open,0.0,
