snapshot_at,fixture_id,provider_event_id,kickoff_utc,home_team,away_team,competition,market,side,line,odds,bookmaker,provider,hours_to_kickoff,status
2026-08-08T18:07:01+00:00,56d3ef566df1fd65,212584,2026-09-24T18:45:00+00:00,Portugal,Wales,UEFA Nations League,,,,,,bsd,1128.63,no_odds_returned
2026-08-08T18:07:01+00:00,79e96e3f8837d24e,212583,2026-09-24T18:45:00+00:00,Norway,Denmark,UEFA Nations League,,,,,,bsd,1128.63,no_odds_returned
2026-08-08T18:07:02+00:00,e62e280859134fee,212608,2026-09-24T18:45:00+00:00,Slovenia,North Macedonia,UEFA Nations League,,,,,,bsd,1128.63,no_odds_returned
2026-08-08T18:07:03+00:00,314525e08f1ccecb,212581,2026-09-24T18:45:00+00:00,Netherlands,Germany,UEFA Nations League,,,,,,bsd,1128.63,no_odds_returned
2026-08-08T18:07:04+00:00,a66b62b406c5f5f3,212590,2026-09-24T18:45:00+00:00,Liechtenstein,Lithuania,UEFA Nations League,,,,,,bsd,1128.63,no_odds_returned
2026-08-08T18:07:06+00:00,e401151d271a93c5,212588,2026-09-24T18:45:00+00:00,Kosovo,Republic of Ireland,UEFA Nations League,,,,,,bsd,1128.63,no_odds_returned
2026-08-08T18:07:06+00:00,8d9ba154bdace5da,212587,2026-09-24T18:45:00+00:00,Austria,Israel,UEFA Nations League,,,,,,bsd,1128.63,no_odds_returned
2026-08-08T18:07:07+00:00,aec46b97c06c21f2,212711,2026-09-24T18:45:00+00:00,North Macedonia,Slovenia,UEFA Nations League,,,,,,bsd,1128.63,no_odds_returned
2026-08-08T18:07:07+00:00,d2c1fdf27215cc34,212592,2026-09-25T16:00:00+00:00,Armenia,Latvia,UEFA Nations League,,,,,,bsd,1149.88,no_odds_returned
2026-08-08T18:07:08+00:00,eb525295a46cf2bb,212591,2026-09-25T16:00:00+00:00,Georgia,Northern Ireland,UEFA Nations League,,,,,,bsd,1149.88,no_odds_returned
2026-08-08T18:07:08+00:00,76cbadcba1e0f4ed,223079,2026-09-25T18:00:00+00:00,Barbados,Saint Lucia,CONCACAF Nations League,,,,,,bsd,1151.88,no_odds_returned
