team,city,country,matches,share,rank,latitude,longitude,elevation_m,timezone
Greece,Piraeus,Greece,11,0.2391,2,37.94203,23.64619,29.0,Europe/Athens
Greece,Heraklion,Greece,3,0.0652,3,35.32787,25.14341,60.0,Europe/Athens
Greece,Thessaloniki,Greece,2,0.0435,4,40.64072,22.93493,,Europe/Athens
Greece,Vólos,Greece,2,0.0435,5,39.36923,22.94769,52.0,Europe/Athens
Grenada,St. George's,Grenada,26,0.8387,1,12.05288,-61.75226,6.0,America/Grenada
Grenada,Carriacou,Grenada,2,0.0645,2,12.47629,-61.47318,5.0,America/Grenada
Grenada,Gouyave,Grenada,1,0.0323,3,12.16462,-61.72965,19.0,America/Grenada
Grenada,Grenada,Grenada,1,0.0323,4,12.11667,-61.66667,261.0,America/Grenada
Grenada,Sauteurs,Grenada,1,0.0323,5,12.21833,-61.63917,46.0,America/Grenada
Guadeloupe,Les Abymes,Guadeloupe,9,0.5294,1,,,,
Guadeloupe,Le Gosier,Guadeloupe,5,0.2941,2,,,,
Guadeloupe,Sainte-Anne,Guadeloupe,3,0.1765,3,47.46071,-2.00415,19.0,Europe/Paris
Guam,Dededo,Guam,4,1.0,1,,,,
Guatemala,Guatemala City,Guatemala,24,0.8889,1,14.64072,-90.51327,1508.0,America/Guatemala
Guatemala,Antigua Guatemala,Guatemala,2,0.0741,2,14.55636,-90.7332,1583.0,America/Guatemala
Guatemala,Quetzaltenango,Guatemala,1,0.037,3,14.84462,-91.52316,2351.0,America/Guatemala
Guernsey,Guernsey,Guernsey,3,0.4286,1,,,,
Guernsey,Saint Sampson,Guernsey,3,0.4286,2,50.36341,-4.64263,21.0,Europe/London
Guernsey,Saint Martin,Guernsey,1,0.1429,3,,,,
Guinea,Conakry,Guinea,11,1.0,1,9.53795,-13.67729,13.0,Africa/Conakry
Guinea-Bissau,Bissau,Guinea-Bissau,19,1.0,1,11.86357,-15.59767,13.0,Africa/Bissau
Guyana,Leonora,Guyana,10,0.7692,1,6.86923,-58.28903,1.0,America/Guyana
Guyana,Georgetown,Guyana,2,0.1538,2,6.80448,-58.15527,3.0,America/Guyana
Guyana,Linden,Guyana,1,0.0769,3,6.00815,-58.30724,4.0,America/Guyana
Haiti,Port-au-Prince,Haiti,9,1.0,1,18.54349,-72.33881,27.0,America/Port-au-Prince
Honduras,San Pedro Sula,Honduras,23,0.6389,1,15.50585,-88.02588,90.0,America/Tegucigalpa
Honduras,Tegucigalpa,Honduras,12,0.3333,2,14.0818,-87.20681,944.0,America/Tegucigalpa
Honduras,Comayagua,Honduras,1,0.0278,3,14.45577,-87.63968,551.0,America/Tegucigalpa
Hong Kong,Hong Kong,Hong Kong,24,0.6316,1,,,,
Hong Kong,Kowloon,Hong Kong,11,0.2895,2,,,,
Hong Kong,So Kon Po,Hong Kong,3,0.0789,3,,,,
Hungary,Budapest,Hungary,55,0.9649,1,47.49835,19.04045,104.0,Europe/Budapest
Hungary,Debrecen,Hungary,2,0.0351,2,47.53167,21.62444,124.0,Europe/Budapest
Iceland,Reykjavík,Iceland,36,1.0,1,64.13548,-21.89541,37.0,Atlantic/Reykjavik
India,Bengaluru,India,7,0.2,1,12.97194,77.59369,920.0,Asia/Kolkata
India,Kolkata,India,5,0.1429,2,22.56263,88.36304,11.0,Asia/Kolkata
India,Bombay,India,4,0.1143,3,,,,
India,Mumbai,India,4,0.1143,4,19.07283,72.88261,8.0,Asia/Kolkata
India,Ahmedabad,India,3,0.0857,5,23.02579,72.58727,56.0,Asia/Kolkata
India,Hyderabad,India,3,0.0857,6,17.38405,78.45636,515.0,Asia/Kolkata
India,Guwahati,India,2,0.0571,7,26.1844,91.7458,59.0,Asia/Kolkata
India,Imphal,India,2,0.0571,8,24.80805,93.9442,784.0,Asia/Kolkata
India,Margao,India,2,0.0571,9,15.27501,73.95786,22.0,Asia/Kolkata
India,Shillong,India,2,0.0571,10,25.56892,91.88313,1507.0,Asia/Kolkata
India,Bhubaneswar,India,1,0.0286,11,20.27241,85.83385,62.0,Asia/Kolkata
Indonesia,Jakarta,Indonesia,24,0.4528,1,-6.21462,106.84513,16.0,Asia/Jakarta
Indonesia,Cikarang,Indonesia,4,0.0755,2,-6.26111,107.15278,17.0,Asia/Jakarta
Indonesia,Surabaya,Indonesia,4,0.0755,3,-7.24917,112.75083,8.0,Asia/Jakarta
Indonesia,Banda Aceh,Indonesia,3,0.0566,4,5.54167,95.33333,9.0,Asia/Jakarta
Indonesia,Bekasi,Indonesia,3,0.0566,5,-6.2349,106.9896,18.0,Asia/Jakarta
Indonesia,Gianyar,Indonesia,3,0.0566,6,-8.5435,115.3272,123.0,Asia/Makassar
Indonesia,Sleman,Indonesia,3,0.0566,7,-7.71556,110.35556,210.0,Asia/Jakarta
Indonesia,Surakarta,Indonesia,3,0.0566,8,-7.55611,110.83167,100.0,Asia/Jakarta
Indonesia,Bogor,Indonesia,2,0.0377,9,-6.59444,106.78917,245.0,Asia/Jakarta
Indonesia,Cibinong,Indonesia,2,0.0377,10,-6.48167,106.85417,137.0,Asia/Jakarta
Indonesia,Bandung,Indonesia,1,0.0189,11,-6.92222,107.60694,714.0,Asia/Jakarta
Indonesia,Soreang,Indonesia,1,0.0189,12,-7.03306,107.51833,744.0,Asia/Jakarta
Iran,Tehran,Iran,28,0.8485,1,35.69439,51.42151,1178.0,Asia/Tehran
Iran,Arad,Iran,2,0.0606,2,35.34168,51.3456,918.0,Asia/Tehran
Iran,Fuladshahr,Iran,1,0.0303,3,,,,
Iran,Kish,Iran,1,0.0303,4,26.55778,54.01944,6.0,Asia/Tehran
Iran,Mashhad,Iran,1,0.0303,5,36.29807,59.60567,980.0,Asia/Tehran
Iraq,Basra,Iraq,25,0.7353,1,30.50852,47.7804,4.0,Asia/Baghdad
Iraq,Karbala,Iraq,6,0.1765,2,32.61603,44.02488,32.0,Asia/Baghdad
Iraq,Baghdad,Iraq,2,0.0588,3,33.34058,44.40088,41.0,Asia/Baghdad
Iraq,Al-Ain,Iraq,1,0.0294,4,,,,
Israel,Haifa,Israel,9,0.2903,1,32.81303,34.99928,101.0,Asia/Jerusalem
Israel,Netanya,Israel,7,0.2258,2,32.33291,34.85992,38.0,Asia/Jerusalem
Israel,Tel Aviv,Israel,5,0.1613,3,32.08088,34.78057,15.0,Asia/Jerusalem
Israel,Beer Sheva,Israel,4,0.129,4,,,,
Israel,Jerusalem,Israel,4,0.129,5,31.76904,35.21633,786.0,Asia/Jerusalem
Israel,Petah Tikva,Israel,2,0.0645,6,32.08707,34.88747,54.0,Asia/Jerusalem
Italy,Milan,Italy,9,0.1698,1,45.46427,9.18951,122.0,Europe/Rome
Italy,Rome,Italy,7,0.1321,2,41.89193,12.51133,20.0,Europe/Rome
Italy,Turin,Italy,5,0.0943,3,45.07049,7.68682,239.0,Europe/Rome
Italy,Bologna,Italy,4,0.0755,4,44.49381,11.33875,54.0,Europe/Rome
Italy,Florence,Italy,4,0.0755,5,43.77925,11.24626,50.0,Europe/Rome
Italy,Reggio Emilia,Italy,4,0.0755,6,44.69825,10.63125,58.0,Europe/Rome
Italy,Udine,Italy,4,0.0755,7,46.0693,13.23715,113.0,Europe/Rome
Italy,Bergamo,Italy,3,0.0566,8,45.69601,9.66721,249.0,Europe/Rome
Italy,Palermo,Italy,3,0.0566,9,38.1166,13.3636,14.0,Europe/Rome
Italy,Bari,Italy,2,0.0377,10,41.12066,16.86982,5.0,Europe/Rome
Italy,Empoli,Italy,2,0.0377,11,43.71795,10.94758,28.0,Europe/Rome
Italy,Parma,Italy,2,0.0377,12,44.79935,10.32618,57.0,Europe/Rome
Italy,Cagliari,Italy,1,0.0189,13,39.23054,9.11917,6.0,Europe/Rome
Italy,Cesena,Italy,1,0.0189,14,44.1391,12.24315,44.0,Europe/Rome
Italy,Genoa,Italy,1,0.0189,15,44.40478,8.94439,19.0,Europe/Rome
Italy,Napoli,Italy,1,0.0189,16,40.87618,14.5195,58.0,Europe/Rome
Ivory Coast,Abidjan,Ivory Coast,15,0.4054,1,5.35444,-4.00167,50.0,Africa/Abidjan
Ivory Coast,Bouaké,Ivory Coast,8,0.2162,2,7.69385,-5.03031,339.0,Africa/Abidjan
Ivory Coast,Ebimpé,Ivory Coast,7,0.1892,3,5.49901,-4.08207,93.0,Africa/Abidjan
Ivory Coast,San-Pédro,Ivory Coast,3,0.0811,4,4.74851,-6.6363,9.0,Africa/Abidjan
Ivory Coast,Yamoussoukro,Ivory Coast,2,0.0541,5,6.82055,-5.27674,214.0,Africa/Abidjan
Ivory Coast,Amiens,France,1,0.027,6,49.9,2.3,28.0,Europe/Paris
Ivory Coast,Korhogo,Ivory Coast,1,0.027,7,9.45803,-5.62961,360.0,Africa/Abidjan
Jamaica,Kingston,Jamaica,30,0.8824,1,17.99702,-76.79358,65.0,America/Jamaica
Jamaica,Montego Bay,Jamaica,4,0.1176,2,18.47116,-77.91883,12.0,America/Jamaica
Japan,Saitama,Japan,15,0.2419,1,35.90807,139.65657,16.0,Asia/Tokyo
Japan,Suita,Japan,9,0.1452,2,34.76143,135.51567,4.0,Asia/Tokyo
Japan,Tokyo,Japan,7,0.1129,3,35.6895,139.69171,44.0,Asia/Tokyo
Japan,Toyota,Japan,7,0.1129,4,35.08333,137.15,55.0,Asia/Tokyo
Japan,Chōfu,Japan,4,0.0645,5,35.65924,139.54837,44.0,Asia/Tokyo
Japan,Yokohama,Japan,4,0.0645,6,35.43333,139.65,21.0,Asia/Tokyo
Japan,Kashima,Japan,3,0.0484,7,35.96536,140.64474,38.0,Asia/Tokyo
Japan,Kobe,Japan,3,0.0484,8,34.6913,135.183,35.0,Asia/Tokyo
Japan,Chiba,Japan,2,0.0323,9,35.6,140.11667,5.0,Asia/Tokyo
Japan,Niigata,Japan,2,0.0323,10,37.92259,139.04124,1.0,Asia/Tokyo
Japan,Osaka,Japan,2,0.0323,11,34.69379,135.50107,4.0,Asia/Tokyo
Japan,Hiroshima,Japan,1,0.0161,12,34.4,132.45,16.0,Asia/Tokyo
Japan,Rifu,Japan,1,0.0161,13,38.33092,140.97691,7.0,Asia/Tokyo
Japan,Sapporo,Japan,1,0.0161,14,43.06667,141.35,26.0,Asia/Tokyo
Japan,Ōita,Japan,1,0.0161,15,33.23333,131.6,9.0,Asia/Tokyo
Jersey,Jersey,Jersey,2,0.6667,1,,,,
Jersey,St Helier,Jersey,1,0.3333,2,,,,
Jordan,Amman,Jordan,37,1.0,1,31.95522,35.94503,757.0,Asia/Amman
Kazakhstan,Astana,Kazakhstan,34,0.85,1,51.1801,71.44598,358.0,Asia/Almaty
Kazakhstan,Almaty,Kazakhstan,6,0.15,2,43.25249,76.9115,783.0,Asia/Almaty
Kenya,Nairobi,Kenya,18,0.5806,1,-1.28333,36.81667,1684.0,Africa/Nairobi
Kenya,Machakos,Kenya,8,0.2581,2,-1.52233,37.26521,1619.0,Africa/Nairobi
Kenya,Kasarani,Kenya,2,0.0645,3,-1.10972,37.07692,1485.0,Africa/Nairobi
Kenya,Bondoufle,Kenya,1,0.0323,4,,,,
Kenya,Kakamega,Kenya,1,0.0323,5,0.28422,34.75229,1563.0,Africa/Nairobi
Kenya,Kisumu,Kenya,1,0.0323,6,-0.10221,34.76171,1174.0,Africa/Nairobi
Kernow,Bodmin,England,1,0.5,1,50.47151,-4.7243,98.0,Europe/London
Kernow,Falmouth,England,1,0.5,2,50.15441,-5.07113,34.0,Europe/London
Kosovo,Pristina,Kosovo,41,0.9762,1,42.67272,21.16688,597.0,Europe/Belgrade
Kosovo,Mitrovica,Kosovo,1,0.0238,2,42.88333,20.86667,509.0,Europe/Belgrade
Kuwait,Kuwait City,Kuwait,34,0.8718,1,29.367,47.97429,11.0,Asia/Kuwait
Kuwait,Al Farwaniyah,Kuwait,3,0.0769,2,29.2775,47.95861,44.0,Asia/Kuwait
Kuwait,Al Ahmadi,Kuwait,2,0.0513,3,29.07694,48.08389,70.0,Asia/Kuwait
Kyrgyzstan,Bishkek,Kyrgyzstan,29,1.0,1,42.87,74.59,767.0,Asia/Bishkek
Laos,Vientiane,Laos,20,1.0,1,17.96667,102.6,174.0,Asia/Vientiane
Latvia,Riga,Latvia,44,0.9565,1,56.946,24.10589,6.0,Europe/Riga
Latvia,Liepāja,Latvia,2,0.0435,2,56.50474,21.01085,6.0,Europe/Riga
Lebanon,Beirut,Lebanon,10,0.6667,1,33.89332,35.50157,40.0,Asia/Beirut
Lebanon,Sidon,Lebanon,5,0.3333,2,33.55751,35.37148,9.0,Asia/Beirut
Lesotho,Maseru,Lesotho,8,1.0,1,-29.31667,27.48333,1552.0,Africa/Maseru
Liberia,Monrovia,Liberia,18,1.0,1,6.30054,-10.7969,32.0,Africa/Monrovia
Libya,Benghazi,Libya,10,0.5882,1,32.11486,20.06859,3.0,Africa/Tripoli
Libya,Benina,Libya,4,0.2353,2,32.08556,20.25699,122.0,Africa/Tripoli
Libya,Tripoli,Libya,3,0.1765,3,32.88743,13.18733,15.0,Africa/Tripoli
Liechtenstein,Vaduz,Liechtenstein,36,1.0,1,47.14151,9.52154,465.0,Europe/Vaduz
Lithuania,Vilnius,Lithuania,27,0.6136,1,54.68916,25.2798,98.0,Europe/Vilnius
Lithuania,Kaunas,Lithuania,17,0.3864,2,54.90156,23.90909,96.0,Europe/Vilnius
Luhansk PR,Luhansk,Ukraine,1,1.0,1,48.56814,39.30553,104.0,Europe/Kyiv
Luxembourg,Luxembourg,Luxembourg,51,0.9808,1,49.75,6.16667,406.0,Europe/Luxembourg
Luxembourg,Hesperange,Luxembourg,1,0.0192,2,49.56806,6.15139,270.0,Europe/Luxembourg
Macau,Macau,Macau,5,0.4545,1,,,,
Macau,Taipa,Macau,5,0.4545,2,,,,
Macau,Zhuhai,Macau,1,0.0909,3,22.27694,113.56778,35.0,Asia/Shanghai
Madagascar,Antananarivo,Madagascar,15,0.8824,1,-18.91368,47.53613,1274.0,Indian/Antananarivo
Madagascar,Toamasina,Madagascar,2,0.1176,2,-18.1492,49.40234,12.0,Indian/Antananarivo
Malawi,Lilongwe,Malawi,14,0.6667,1,-13.96692,33.78725,1056.0,Africa/Blantyre
Malawi,Blantyre,Malawi,7,0.3333,2,-15.78499,35.00854,1041.0,Africa/Blantyre
Malaysia,Kuala Lumpur,Malaysia,41,0.7736,1,3.1412,101.68653,56.0,Asia/Kuala_Lumpur
Malaysia,Johor Bahru,Malaysia,3,0.0566,2,1.4655,103.7578,32.0,Asia/Kuala_Lumpur
Malaysia,Johor,Malaysia,2,0.0377,3,1.4655,103.7578,32.0,Asia/Kuala_Lumpur
Malaysia,Paya Rumput,Malaysia,2,0.0377,4,2.2973,102.2156,20.0,Asia/Kuala_Lumpur
Malaysia,Shah Alam,Malaysia,2,0.0377,5,3.08507,101.53281,53.0,Asia/Kuala_Lumpur
Malaysia,Terengganu,Malaysia,2,0.0377,6,,,,
Malaysia,Malacca City,Malaysia,1,0.0189,7,,,,
Maldives,Malé,Maldives,19,0.95,1,4.17521,73.50916,8.0,Indian/Maldives
Maldives,Laamu,Maldives,1,0.05,2,,,,
Mali,Bamako,Mali,24,1.0,1,12.60915,-7.97522,374.0,Africa/Bamako
Malta,Ta' Qali,Malta,33,0.66,1,,,,
Malta,Attard,Malta,17,0.34,2,35.88967,14.4425,69.0,Europe/Malta
Martinique,Fort-de-France,Martinique,14,0.9333,1,,,,
Martinique,Le Lamentin,Martinique,1,0.0667,2,,,,
Mauritania,Nouakchott,Mauritania,24,0.8889,1,18.08581,-15.9785,10.0,Africa/Nouakchott
Mauritania,Nouadhibou,Mauritania,3,0.1111,2,20.94188,-17.03842,16.0,Africa/Nouakchott
Mauritius,Saint Pierre,Mauritius,11,0.5789,1,-20.2215,57.53431,392.0,Indian/Mauritius
Mauritius,Curepipe,Mauritius,3,0.1579,2,-20.31628,57.52594,559.0,Indian/Mauritius
Mauritius,Belle Vue Harel,Mauritius,2,0.1053,3,-20.06583,57.59417,80.0,Indian/Mauritius
Mauritius,Belle Vue Maurel,Mauritius,1,0.0526,4,-20.12028,57.66361,108.0,Indian/Mauritius
Mauritius,Centre de Flacq,Mauritius,1,0.0526,5,-20.18972,57.71444,53.0,Indian/Mauritius
Mauritius,Mapou,Mauritius,1,0.0526,6,-20.07583,57.60139,91.0,Indian/Mauritius
Mexico,Mexico City,Mexico,22,0.6111,1,19.42847,-99.12766,2240.0,America/Mexico_City
Mexico,Toluca,Mexico,3,0.0833,2,19.28786,-99.65324,2671.0,America/Mexico_City
Mexico,Zapopan,Mexico,3,0.0833,3,20.72111,-103.38742,1565.0,America/Mexico_City
Mexico,Querétaro,Mexico,2,0.0556,4,15.83752,-92.75774,683.0,America/Mexico_City
Mexico,Torreón,Mexico,2,0.0556,5,25.54389,-103.41898,1124.0,America/Monterrey
Mexico,Mazatlán,Mexico,1,0.0278,6,23.22163,-106.41885,1.0,America/Mazatlan
Mexico,Puebla,Mexico,1,0.0278,7,19.04778,-98.20723,2166.0,America/Mexico_City
Mexico,San Luis Potosí,Mexico,1,0.0278,8,22.15234,-100.97135,1886.0,America/Monterrey
Mexico,San Nicolás de los Garza,Mexico,1,0.0278,9,25.74167,-100.30222,510.0,America/Monterrey
Moldova,Chișinău,Moldova,44,1.0,1,47.00902,28.85938,24.0,Europe/Chisinau
Mongolia,Ulaanbaatar,Mongolia,14,1.0,1,47.90771,106.88324,1284.0,Asia/Ulaanbaatar
Montenegro,Podgorica,Montenegro,46,0.902,1,42.44124,19.26309,49.0,Europe/Podgorica
Montenegro,Nikšić,Montenegro,5,0.098,2,42.7731,18.94446,630.0,Europe/Podgorica
Montserrat,Lookout,Montserrat,8,1.0,1,,,,
Morocco,Rabat,Morocco,25,0.3788,1,34.01325,-6.83255,46.0,Africa/Casablanca
Morocco,Casablanca,Morocco,10,0.1515,2,33.58831,-7.61138,27.0,Africa/Casablanca
Morocco,Agadir,Morocco,9,0.1364,3,30.42018,-9.59815,31.0,Africa/Casablanca
Morocco,Marrakesh,Morocco,9,0.1364,4,31.63416,-7.99994,457.0,Africa/Casablanca
Morocco,Oujda,Morocco,5,0.0758,5,34.68139,-1.90858,549.0,Africa/Casablanca
Morocco,Tangier,Morocco,5,0.0758,6,35.76727,-5.79975,20.0,Africa/Casablanca
Morocco,Fez,Morocco,2,0.0303,7,34.03313,-5.00028,406.0,Africa/Casablanca
Morocco,Salé,Morocco,1,0.0152,8,34.0531,-6.79846,34.0,Africa/Casablanca
Mozambique,Maputo,Mozambique,25,0.9615,1,-25.96553,32.58322,70.0,Africa/Maputo
Mozambique,Beira,Mozambique,1,0.0385,2,-19.84361,34.83889,6.0,Africa/Maputo
Myanmar,Yangon,Myanmar,29,0.8286,1,16.80528,96.15611,30.0,Asia/Yangon
Myanmar,Mandalay,Myanmar,6,0.1714,2,21.97473,96.08359,83.0,Asia/Yangon
Namibia,Windhoek,Namibia,10,1.0,1,-22.55941,17.08323,1700.0,Africa/Windhoek
Nepal,Kathmandu,Nepal,15,0.8824,1,27.70169,85.3206,1317.0,Asia/Kathmandu
Nepal,Lalitpur,Nepal,2,0.1176,2,27.67658,85.31417,1334.0,Asia/Kathmandu
Netherlands,Amsterdam,Netherlands,31,0.5536,1,52.37403,4.88969,13.0,Europe/Amsterdam
Netherlands,Rotterdam,Netherlands,17,0.3036,2,51.9225,4.47917,9.0,Europe/Amsterdam
Netherlands,Eindhoven,Netherlands,5,0.0893,3,51.44083,5.47778,22.0,Europe/Amsterdam
Netherlands,Enschede,Netherlands,2,0.0357,4,52.21833,6.89583,45.0,Europe/Amsterdam
Netherlands,Groningen,Netherlands,1,0.0179,5,53.21917,6.56667,16.0,Europe/Amsterdam
New Caledonia,New Caledonia,New Caledonia,3,0.5,1,,,,
New Caledonia,Nouméa,New Caledonia,2,0.3333,2,,,,
New Caledonia,Koné,New Caledonia,1,0.1667,3,,,,
New Zealand,Auckland,New Zealand,10,0.6667,1,-36.84853,174.76349,43.0,Pacific/Auckland
New Zealand,Wellington,New Zealand,4,0.2667,2,-41.28664,174.77557,31.0,Pacific/Auckland
New Zealand,Hamilton,New Zealand,1,0.0667,3,-37.78333,175.28333,39.0,Pacific/Auckland
Nicaragua,Managua,Nicaragua,34,0.9714,1,12.13282,-86.2504,108.0,America/Managua
Nicaragua,Diriamba,Nicaragua,1,0.0286,2,11.85812,-86.23922,583.0,America/Managua
Niger,Niamey,Niger,14,1.0,1,13.51366,2.1098,206.0,Africa/Niamey
Nigeria,Uyo,Nigeria,16,0.5517,1,5.05127,7.9335,45.0,Africa/Lagos
Nigeria,Asaba,Nigeria,4,0.1379,2,6.19824,6.73187,46.0,Africa/Lagos
Nigeria,Lagos,Nigeria,4,0.1379,3,6.45407,3.39467,11.0,Africa/Lagos
Nigeria,Abuja,Nigeria,3,0.1034,4,9.05785,7.49508,476.0,Africa/Lagos
Nigeria,Benin City,Nigeria,1,0.0345,5,6.33815,5.62575,88.0,Africa/Lagos
Nigeria,Port Harcourt,Nigeria,1,0.0345,6,4.77742,7.0134,16.0,Africa/Lagos
North Korea,Pyongyang,North Korea,4,1.0,1,39.03385,125.75432,43.0,Asia/Pyongyang
North Macedonia,Skopje,North Macedonia,43,0.9348,1,41.99646,21.43141,247.0,Europe/Skopje
North Macedonia,Strumica,North Macedonia,3,0.0652,2,41.43763,22.64288,228.0,Europe/Skopje
Northern Cyprus,Nicosia,Northern Cyprus,3,0.6,1,35.17284,33.35397,155.0,Asia/Nicosia
Northern Cyprus,Kyrenia,Northern Cyprus,1,0.2,2,35.33634,33.31729,20.0,Asia/Famagusta
Northern Cyprus,Morphou,Northern Cyprus,1,0.2,3,,,,
Northern Ireland,Belfast,Northern Ireland,43,1.0,1,54.59682,-5.92541,7.0,Europe/London
Northern Mariana Islands,Koblerville,Northern Mariana Islands,2,1.0,1,,,,
Norway,Oslo,Norway,51,1.0,1,59.91273,10.74609,26.0,Europe/Oslo
Oman,Muscat,Oman,34,0.9189,1,23.58413,58.40778,14.0,Asia/Muscat
Oman,Seeb,Oman,3,0.0811,2,23.67027,58.18911,7.0,Asia/Muscat
Orkney,Kirkwall,Scotland,3,0.75,1,58.98479,-2.95873,3.0,Europe/London
Orkney,Stromness,Scotland,1,0.25,2,58.96498,-3.29601,7.0,Europe/London
Padania,Carate Brianza,Italy,3,1.0,1,45.67574,9.23723,250.0,Europe/Rome
Pakistan,Islamabad,Pakistan,6,1.0,1,33.72148,73.04329,579.0,Asia/Karachi
Palestine,Al-Ram,Palestine,5,0.625,1,31.38328,34.86256,438.0,Asia/Jerusalem
Palestine,Hebron,Palestine,2,0.25,2,,,,
Palestine,Jenin,Palestine,1,0.125,3,,,,
Panama,Panama City,Panama,38,0.9744,1,8.9936,-79.51973,17.0,America/Panama
Panama,Penonomé,Panama,1,0.0256,2,8.51889,-80.35727,90.0,America/Panama
Papua New Guinea,Port Moresby,Papua New Guinea,7,1.0,1,-9.47723,147.1509,25.0,Pacific/Port_Moresby
Paraguay,Asunción,Paraguay,25,0.8929,1,-25.28646,-57.647,113.0,America/Asuncion
Paraguay,Ciudad del Este,Paraguay,3,0.1071,2,-25.5036,-54.65067,197.0,America/Asuncion
Parishes of Jersey,Harrogate,England,1,0.5,1,53.99078,-1.5373,127.0,Europe/London
Parishes of Jersey,St. Peter,Jersey,1,0.5,2,51.53535,-0.09725,25.0,Europe/London
Peru,Lima,Peru,36,0.9,1,-12.04318,-77.02824,152.0,America/Lima
Peru,Arequipa,Peru,3,0.075,2,-16.39899,-71.53747,2397.0,America/Lima
Peru,Trujillo,Peru,1,0.025,3,-8.11599,-79.02998,31.0,America/Lima
Philippines,Manila,Philippines,20,0.625,1,14.6042,120.9822,13.0,Asia/Manila
Philippines,Bacolod,Philippines,6,0.1875,2,10.66667,122.95,14.0,Asia/Manila
Philippines,Bocaue,Philippines,3,0.0938,3,14.79833,120.92611,9.0,Asia/Manila
Philippines,Capas,Philippines,3,0.0938,4,15.33117,120.5898,53.0,Asia/Manila
Poland,Warsaw,Poland,37,0.6271,1,52.22977,21.01178,113.0,Europe/Warsaw
Poland,Chorzów,Poland,9,0.1525,2,50.30582,18.9742,319.0,Europe/Warsaw
