team,city,country,matches,share,rank,latitude,longitude,elevation_m,timezone
Sweden,Gothenburg,Sweden,2,0.0392,3,57.70716,11.96679,10.0,Europe/Stockholm
Sweden,Malmö,Sweden,1,0.0196,4,55.60587,13.00073,10.0,Europe/Stockholm
Switzerland,St. Gallen,Switzerland,14,0.2917,1,47.42391,9.37477,684.0,Europe/Zurich
Switzerland,Basel,Switzerland,12,0.25,2,47.55839,7.57327,279.0,Europe/Zurich
Switzerland,Geneva,Switzerland,8,0.1667,3,46.20222,6.14569,400.0,Europe/Zurich
Switzerland,Lucerne,Switzerland,7,0.1458,4,47.05048,8.30635,437.0,Europe/Zurich
Switzerland,Lugano,Switzerland,2,0.0417,5,46.01008,8.96004,284.0,Europe/Zurich
Switzerland,Sion,Switzerland,2,0.0417,6,46.22739,7.35559,500.0,Europe/Zurich
Switzerland,Zürich,Switzerland,2,0.0417,7,47.36667,8.55,429.0,Europe/Zurich
Switzerland,Neuchâtel,Switzerland,1,0.0208,8,46.99179,6.931,441.0,Europe/Zurich
Székely Land,Miercurea Ciuc,Hungary,2,1.0,1,,,,
São Tomé and Príncipe,São Tomé,São Tomé and Príncipe,5,1.0,1,0.33756,6.7299,140.0,Africa/Sao_Tome
Tahiti,Pirae,Tahiti,8,1.0,1,,,,
Taiwan,Taipei,Taiwan,17,0.6538,1,25.05306,121.52639,5.0,Asia/Taipei
Taiwan,Kaohsiung,Taiwan,9,0.3462,2,22.61626,120.31333,9.0,Asia/Taipei
Tajikistan,Dushanbe,Tajikistan,16,0.7273,1,38.53575,68.77905,767.0,Asia/Dushanbe
Tajikistan,Hisor,Tajikistan,4,0.1818,2,38.52504,68.55124,800.0,Asia/Dushanbe
Tajikistan,Khujand,Tajikistan,1,0.0455,3,40.28256,69.62216,340.0,Asia/Dushanbe
Tajikistan,Tursunzoda,Tajikistan,1,0.0455,4,38.51271,68.23163,707.0,Asia/Dushanbe
Tanzania,Dar es Salaam,Tanzania,26,0.9286,1,-6.82349,39.26951,24.0,Africa/Dar_es_Salaam
Tanzania,Unguja,Tanzania,2,0.0714,2,-6.16394,39.19793,14.0,Africa/Dar_es_Salaam
Thailand,Bangkok,Thailand,27,0.4909,1,13.75398,100.50144,12.0,Asia/Bangkok
Thailand,Pathum Thani,Thailand,15,0.2727,2,14.01346,100.53049,4.0,Asia/Bangkok
Thailand,Chiang Mai,Thailand,4,0.0727,3,18.79038,98.98468,313.0,Asia/Bangkok
Thailand,Kanchanaburi,Thailand,2,0.0364,4,14.00412,99.54832,33.0,Asia/Bangkok
Thailand,Songkhla,Thailand,2,0.0364,5,7.19882,100.5951,12.0,Asia/Bangkok
Thailand,Chonburi,Thailand,1,0.0182,6,,,,
Thailand,Pak Kret,Thailand,1,0.0182,7,13.91179,100.49774,2.0,Asia/Bangkok
Thailand,Sisaket,Thailand,1,0.0182,8,15.1,104.33333,131.0,Asia/Bangkok
Thailand,Suphan Buri,Thailand,1,0.0182,9,14.47418,100.12218,12.0,Asia/Bangkok
Thailand,Thanyaburi,Thailand,1,0.0182,10,14.02114,100.73433,8.0,Asia/Bangkok
Ticino,Tenero-Contra,Switzerland,1,1.0,1,,,,
Togo,Lomé,Togo,27,1.0,1,6.12874,1.22154,13.0,Africa/Lome
Tonga,Nuku'alofa,Tonga,2,1.0,1,-21.13683,-175.20114,1.0,Pacific/Tongatapu
Trinidad and Tobago,Port of Spain,Trinidad and Tobago,21,0.5526,1,10.66668,-61.51889,21.0,America/Port_of_Spain
Trinidad and Tobago,Couva,Trinidad and Tobago,12,0.3158,2,10.42248,-61.46748,15.0,America/Port_of_Spain
Trinidad and Tobago,Bacolet,Trinidad and Tobago,3,0.0789,3,11.17539,-60.72263,61.0,America/Port_of_Spain
Trinidad and Tobago,Arima,Trinidad and Tobago,1,0.0263,4,10.63737,-61.28228,62.0,America/Port_of_Spain
