fixture_id,temp_c,precip_mm,wind_kmh
2898850563,19.0,0.0,18.8
209771287,20.1,0.3,16.3
405734645,20.9,0.0,7.9
3387349010,16.4,0.0,23.9
772032662,21.4,0.0,20.6
2954601395,18.7,0.0,18.7
2178152296,20.7,0.0,2.3
4141007409,22.9,0.0,21.1
2090152709,21.0,0.0,11.8
2549900727,22.9,0.0,21.1
3944483517,20.9,0.0,8.4
2654600989,23.3,0.0,9.6
3920239347,20.9,0.0,10.2
3676693524,23.3,0.0,9.6
1932810472,11.6,0.1,19.5
2279391872,12.5,0.6,23.7
2233021067,15.5,0.1,10.7
3571021553,12.2,0.1,12.6
4024809014,11.8,0.0,17.6
322047227,11.2,0.0,11.6
581830811,15.5,0.1,10.7
2174630104,11.7,0.0,9.3
2614582089,13.1,0.0,13.3
1043417080,14.6,0.0,15.8
1249196553,13.5,0.2,17.8
2700894303,14.5,0.0,20.5
3903379564,14.5,0.0,20.5
4021686441,12.9,0.6,27.1
3357944052,13.2,0.0,18.3
1164636604,11.5,0.1,14.6
3896819877,12.1,0.0,17.6
1935112393,12.6,0.1,30.3
833872743,13.5,0.0,17.3
544227700,13.3,0.0,10.0
280435895,11.6,0.2,21.4
3144309643,11.6,0.2,21.4
3083739480,7.7,0.1,19.3
246600931,8.1,1.1,21.3
1814018995,8.4,0.2,19.0
408439145,7.7,0.5,17.7
3644709883,9.5,0.0,14.0
589977589,11.1,0.1,19.8
2686676140,11.1,0.0,22.0
4051770564,12.6,0.0,23.4
4192382396,9.3,0.0,3.9
3976368293,10.2,0.0,9.2
2137306298,10.2,0.0,9.2
3214883373,8.7,0.0,2.5
378613964,10.8,0.0,1.3
1137109826,6.9,0.0,16.9
2065848397,10.5,0.0,12.4
2234227810,7.9,1.2,26.0
277115992,9.1,0.0,10.3
865032618,9.1,0.0,10.3
4195040882,3.9,0.0,3.3
3956269031,3.1,0.0,3.6
330015714,4.0,0.0,13.2
2010742265,5.5,0.0,10.8
1281763101,5.5,0.0,10.4
4049788999,5.2,0.0,11.7
4293233588,5.3,0.0,12.0
712399250,5.3,0.0,10.1
757090652,4.6,0.0,12.0
1304625450,6.9,0.2,19.5
2799911599,-0.5,0.0,7.6
3724184635,-0.5,0.0,7.6
2738094055,0.9,0.0,15.2
1190634334,-0.4,0.0,13.2
2997415225,0.8,0.0,9.7
3775196978,9.0,0.5,23.9
2771908154,7.4,0.1,15.2
2485239398,2.6,0.2,10.2
3742765912,7.4,0.1,15.2
2155659911,3.4,0.0,8.2
2854284748,5.6,0.0,13.8
3735402904,5.0,0.3,17.6
2294650302,5.9,0.0,5.4
3357196917,4.4,0.0,1.6
2836780276,4.4,0.0,1.6
1474238603,3.1,0.0,5.4
1691255551,2.7,0.0,11.0
524858900,4.3,0.0,10.7
383188836,7.0,1.9,34.3
2780175029,6.8,0.3,21.4
3605777884,12.3,0.0,33.6
1262999205,12.9,0.0,36.3
1598719240,10.7,0.2,28.6
3269260811,11.0,0.0,34.0
3138019140,10.0,0.0,34.6
2278204483,9.9,0.0,32.9
2018976100,10.1,0.0,21.6
4060972288,10.5,0.0,31.9
1213268281,9.1,0.1,27.4
2563878623,10.5,0.0,31.9
195559792,7.9,0.0,16.1
2864052518,11.1,0.0,18.2
1684978066,11.8,0.1,15.5
479035761,11.4,0.0,32.9
4100806148,10.4,0.0,25.6
964482826,10.5,0.0,23.7
3567516049,10.5,0.0,23.7
152151728,10.5,0.0,23.7
4139472588,11.6,0.0,19.5
3332451932,12.9,0.0,31.0
1723117135,8.9,0.0,30.6
2297538487,10.9,0.0,26.2
182698692,10.9,0.0,26.2
3760332310,9.4,0.0,28.3
762590779,9.8,0.0,31.7
3750820687,10.9,0.0,26.2
4282307433,10.3,0.0,27.7
2692481085,12.7,0.0,23.8
2278646481,5.8,0.0,12.3
1457565168,9.7,0.0,2.9
2985106372,7.4,0.0,9.4
3718627907,6.2,0.0,12.0
420826330,8.0,0.0,10.0
449092683,11.6,0.3,35.5
2168468849,11.6,0.3,35.5
711573941,12.6,0.6,35.0
3449721374,11.1,0.4,45.8
2410834830,11.6,0.0,33.9
1201192456,10.0,0.0,28.2
2875438494,10.0,0.4,28.1
1162701090,11.2,0.1,27.8
63086505,9.6,0.1,29.4
219762619,9.7,0.5,28.1
3478618990,10.0,0.0,27.4
14264000,9.6,0.0,29.1
1072125321,9.6,0.0,29.1
2056423961,7.5,0.0,11.9
1363162744,12.9,0.2,40.6
4203919949,3.7,0.0,7.6
1317566389,3.7,0.0,9.4
1794995527,7.3,0.0,9.5
4263428722,4.8,0.0,21.7
3957960685,4.4,0.1,12.7
4069996397,5.0,0.0,21.9
2870634924,5.0,0.0,21.9
567806822,11.2,0.0,48.8
