event_id,provider_fixture_id,match_date,kickoff_utc,home,away,competition,round,group,status_long,status_short,elapsed,venue_name,venue_city,provider_home_id,provider_away_id,source,fetched_at
2026-06-30|mexico|ecuador|fifa-world-cup,8365,2026-06-30,2026-07-01T05:00:00+04:00,Mexico,Ecuador,FIFA World Cup,Round of 32,,Not Started,NS,,Estadio Azteca,Mexico City,451,472,bsd,2026-06-30T07:57:54+00:00
2026-07-01|england|dr-congo|fifa-world-cup,8366,2026-07-01,2026-07-01T20:00:00+04:00,England,DR Congo,FIFA World Cup,Round of 32,,Not Started,NS,,Mercedes-Benz Stadium,Atlanta,493,648,bsd,2026-06-30T07:57:54+00:00
2026-07-01|belgium|senegal|fifa-world-cup,8367,2026-07-01,2026-07-02T00:00:00+04:00,Belgium,Senegal,FIFA World Cup,Round of 32,,Not Started,NS,,Lumen Field,Seattle,477,486,bsd,2026-06-30T07:57:54+00:00
2026-07-01|united-states|bosnia-and-herzegovina|fifa-world-cup,8368,2026-07-01,2026-07-02T04:00:00+04:00,United States,Bosnia and Herzegovina,FIFA World Cup,Round of 32,,Not Started,NS,,Levi's Stadium,Santa Clara,457,931,bsd,2026-06-30T07:57:54+00:00
2026-07-02|spain|austria|fifa-world-cup,8369,2026-07-02,2026-07-02T23:00:00+04:00,Spain,Austria,FIFA World Cup,Round of 32,,Not Started,NS,,SoFi Stadium,Inglewood,475,483,bsd,2026-06-30T07:57:54+00:00
2026-07-02|portugal|croatia|fifa-world-cup,8370,2026-07-02,2026-07-03T03:00:00+04:00,Portugal,Croatia,FIFA World Cup,Round of 32,,Not Started,NS,,BMO Field,Toronto,491,494,bsd,2026-06-30T07:57:54+00:00
2026-07-02|switzerland|algeria|fifa-world-cup,8371,2026-07-02,2026-07-03T07:00:00+04:00,Switzerland,Algeria,FIFA World Cup,Round of 32,,Not Started,NS,,BC Place,Vancouver,462,490,bsd,2026-06-30T07:57:54+00:00
2026-07-03|australia|egypt|fifa-world-cup,8372,2026-07-03,2026-07-03T22:00:00+04:00,Australia,Egypt,FIFA World Cup,Round of 32,,Not Started,NS,,AT&T Stadium,Arlington,459,478,bsd,2026-06-30T07:57:54+00:00
2026-07-03|argentina|cape-verde|fifa-world-cup,8373,2026-07-03,2026-07-04T02:00:00+04:00,Argentina,Cape Verde,FIFA World Cup,Round of 32,,Not Started,NS,,Hard Rock Stadium,Miami Gardens,489,476,bsd,2026-06-30T07:57:54+00:00
2026-07-03|colombia|ghana|fifa-world-cup,8374,2026-07-03,2026-07-04T05:30:00+04:00,Colombia,Ghana,FIFA World Cup,Round of 32,,Not Started,NS,,Arrowhead Stadium,Kansas City,498,495,bsd,2026-06-30T07:57:54+00:00
2026-07-04|canada|w75|fifa-world-cup,8375,2026-07-04,2026-07-04T21:00:00+04:00,Canada,W75,FIFA World Cup,Round of 16,,Not Started,NS,,NRG Stadium,Houston,455,532,bsd,2026-06-30T07:57:54+00:00
2026-07-04|paraguay|w77|fifa-world-cup,8376,2026-07-04,2026-07-05T01:00:00+04:00,Paraguay,W77,FIFA World Cup,Round of 16,,Not Started,NS,,Lincoln Financial Field,Philadelphia,458,534,bsd,2026-06-30T07:57:54+00:00
2026-07-05|brazil|w78|fifa-world-cup,8377,2026-07-05,2026-07-06T00:00:00+04:00,Brazil,W78,FIFA World Cup,Round of 16,,Not Started,NS,,MetLife Stadium,East Rutherford,463,536,bsd,2026-06-30T07:57:54+00:00
2026-07-05|w79|w80|fifa-world-cup,8378,2026-07-05,2026-07-06T04:00:00+04:00,W79,W80,FIFA World Cup,Round of 16,,Not Started,NS,,Estadio Azteca,Mexico City,537,538,bsd,2026-06-30T07:57:54+00:00
2026-07-06|w83|w84|fifa-world-cup,8379,2026-07-06,2026-07-06T23:00:00+04:00,W83,W84,FIFA World Cup,Round of 16,,Not Started,NS,,AT&T Stadium,Arlington,539,540,bsd,2026-06-30T07:57:54+00:00
2026-07-06|w81|w82|fifa-world-cup,8380,2026-07-06,2026-07-07T04:00:00+04:00,W81,W82,FIFA World Cup,Round of 16,,Not Started,NS,,Lumen Field,Seattle,541,542,bsd,2026-06-30T07:57:54+00:00
